CASEID,acu3c,aprcu3c,asepcu3c,cu3rnkc,cu3_190,nsepevr,totclwc,agec,agedc,agegr10,agegr5,chh0014c,chrinhdc,chrtime6,famtype,hsdsizec,livarr12,marstat,multigen,prtypec,sex,sexpr,gu_110,gu_120,gu_130c,gu_150c,gu_170,gu_180,gu_190,gu_210,aclma1c,adivma1c,adthma1c,agema1c,aprma1c,asepma1c,ma1rnkc,ma1_150,ma1_165,ma1_170,ma1_220,ma1_230,wevermar,apardivc,aparsepc,achb1c,achdmpl,achd_1c,achj1c,chddecc,chdinftc,chdinptc,chdoutc,hhdchd1,hhdsta1,rci10_1,rci65_1,totchdc
16774,99.6,99.6,99.6,96,6,0,1,33,33.8,2, 4,1,1,2,2,3, 3, 2,2,2,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,18.4, 1, 15,99.6,0,1,1,1,2,3,1,6, 3
16775,99.6,99.6,99.6,96,6,1,1,55,55.4,5, 9,0,2,4,2,4, 3, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,33.2,96, 22,99.6,0,2,0,1,1,1,1,6, 3
16776,99.6,99.6,99.6,96,6,1,0,51,51.5,4, 8,0,2,4,5,3, 7, 5,2,0,1,0,1,1,6,6,2,6,1,1,33.9,44.6,99.6,35.0,34.5,44.2, 1,1,2,1,6,2,6,96,96,27.4,96, 24,99.6,0,2,0,0,1,1,2,6, 2
16777,99.6,99.6,99.6,96,6,0,0,47,47.1,4, 7,0,0,1,6,1, 1, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,5,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16778,99.6,99.6,99.6,96,6,0,0,76,76.5,7,13,0,0,1,1,2, 2, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,30.6,96, 46,99.6,0,0,0,2,2,3,2,6, 2
16779,99.6,99.6,99.6,96,6,0,0,50,50.8,4, 8,0,0,1,1,2, 2, 1,2,1,1,2,1,2,6,6,7,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,10, 9,21.2,96, 30,99.6,0,0,0,2,2,3,2,6, 2
16780,99.6,99.6,99.6,96,6,1,0,70,70.8,6,12,0,0,1,6,1, 1, 5,2,0,2,0,1,1,6,6,2,6,1,1,99.6,33.5,99.6,21.8,23.3,30.5, 1,6,1,1,6,2,4,96,96,24.7,96, 46,99.6,0,0,0,3,2,3,2,6, 3
16781,99.6,99.6,99.6,96,6,1,1,51,51.6,4, 8,0,0,1,1,2, 2, 2,2,2,2,1,1,1,6,6,2,6,1,1,20.5,46.2,99.6,26.8,28.8,43.3, 1,1,1,1,6,2,6,96,12,25.6,96, 26,99.6,0,0,0,2,2,3,1,6, 2
16782,99.6,99.6,99.6,96,6,1,0,74,74.4,6,12,0,0,1,1,2, 2, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,46.5,99.6,21.3,21.1,43.0, 1,2,1,1,1,6,6,96,96,22.4,96, 52,99.6,1,0,0,2,2,3,2,6, 3
16783,99.6,99.6,99.6,96,6,1,0,75,75.6,7,13,0,0,1,6,2,12, 5,2,0,1,0,1,1,6,6,2,6,1,1,99.6,60.0,99.6,27.9,20.5,58.5, 1,6,1,1,6,2,3,96,96,29.8,96, 46,99.6,0,0,0,3,2,3,2,6, 3
